총20017건
순번,판례ID,제목,법원,사건유형,판결유형,선고일자
33,232605,업무상과실치사,대법원,대법원,형사,2022.05.26
34,213039,저작권법위반·업무방해,대법원,대법원,형사,2020.04.09
35,213067,대통령기록물관리에관한법률위반·공무상비밀누설·무고·공용서류은닉·특정범죄가중처벌등에관한법률위반(뇌물),대법원,대법원,형사,2021.01.14
36,232773,용역비,대법원,대법원,민사,2022.12.15
37,607565,투자금반환청구·정산금청구,서울고등법원(인천),하급심,민사,2024.12.20
38,233063,주주총회소집허가[주주총회 소집청구의 적법성에 대한 사안],대법원,대법원,민사,2022.12.16
39,233299,조업정지처분취소,부산고등법원,하급심,일반행정,2022.06.24
40,233301,특정범죄가중처벌등에관한법률위반(허위세금계산서교부등)·조세범처벌법위반,대전고등법원,하급심,형사,2022.06.24
41,234283,청구이의,서울고등법원,하급심,민사,2022.08.18
42,233915,소유권말소등기,대전지방법원,하급심,민사,2022.08.09
43,607863,청구인들이 부동산임대업을 영위한 사업자들로서 현물출자된 쟁점주택이 임대업에 제공된 사업용 고정자산에 해당하여 법인전환에 따른 양도소득세 이월과세 적용대상이라는 주장을 받아들이지 않음,대법원,대법원,일반행정,2025.02.28
44,238741,부당이득금반환청구의소,수원지방법원,하급심,민사,2023.06.16
45,237247,양수금청구의소,서울고등법원,하급심,민사,2021.05.27
46,238711,손해배상(기),서울북부지법,하급심,민사,2023.05.18
47,238813,재산세부과처분취소,서울고등법원,하급심,세무,2023.06.23
48,238969,한의사면허자격정지처분취소,대법원,대법원,일반행정,2023.08.18
49,237617,업무방해,서울중앙지방법원,하급심,형사,2022.05.20
50,237935,임금등청구의소[재외 한국학교 파견공무원에게 지급할 보수가 문제된 사건],대법원,대법원,일반행정,2023.10.26
51,238643,업무상과실치사·의료법위반[의사인 피고인이 간호사에게 환자 감시 업무를 맡기고 수술실을 이탈한 후 피해자인 환자에게 심정지가 발생하여 사망한 사건],대법원,대법원,형사,2023.08.31
52,239003,폭행,대법원,대법원,형사,2023.06.29
53,240079,특정범죄가중처벌등에관한법률위반(뇌물)·사기·부패방지및국민권익위원회의설치와운영에관한법률위반·뇌물공여,대구고등법원,하급심,형사,2023.11.15
54,221903,배당이의,부산지방법원,하급심,민사,2021.09.10
55,220953,건물등철거·매매대금반환,서울고등법원,하급심,민사,2021.07.21
56,221021,부당이득금반환,서울중앙지방법원,하급심,민사,2020.09.24
57,239837,해임처분취소,대전지방법원,하급심,일반행정,2021.01.27
58,221023,청구이의,춘천지방법원 강릉지원,하급심,민사,2020.07.07
59,241575,도시및주거환경정비법위반[무효인 총회의결에 따라 재개발조합 조합장으로 선임된 사람의 관련 자료 미공개 및 열람·복사 불응이 문제된 사건],대법원,대법원,형사,2024.09.13
60,220875,업무정지처분취소청구의소,대법원,대법원,일반행정,2022.04.28
61,221819,보관금반환등청구의소,부산지방법원,하급심,민사,2021.11.26
62,220859,손해배상(기)[영업양도인의 채권자가 영업소 명칭을 속용하는 영업양수인에 대하여 변제책임을 구하는 사건],대법원,대법원,민사,2022.04.28
63,221839,배당이의,서울고등법원(인천),하급심,민사,2020.11.26
64,239505,토지인도·소유권이전등기,대법원,대법원,민사,2023.10.26
65,220947,소유권말소등기,서울고등법원,하급심,민사,2021.10.27
66,232813,도로교통법위반(음주측정거부),대법원,대법원,형사,2022.06.30
67,226869,공직선거법위반,대법원,대법원,형사,2021.04.29
68,604953,서울중앙지방법원-2021-가합-575781,서울중앙지방법원,하급심,민사,2024.10.17
69,605045,법인세부과처분취소,인천지방법원,하급심,세무,2022.01.20
70,239943,매매대금반환,서울고등법원,하급심,민사,2023.09.22
71,239953,사기·자동차관리법위반,서울북부지방법원,하급심,형사,2023.10.31
72,218131,주거침입,울산지방법원,하급심,형사,2020.08.21
73,605101,(심리불속행) 거주자가 건물을 신축하고 그 신축한 건물의 취득일부터 5년 이내에 해당 건물을 양도하는 경우 환산가액을 그 취득가액으로 하는 경우에는 해당 건물 환산가액의 100분의 5에 해당하는 금액을 가산세로 양도소득 결정세액에 더하여야 함,대법원,대법원,일반행정,2025.04.03
74,226933,소유권이전등기,대전지방법원,하급심,민사,2021.08.10
75,232933,업무방해,대법원,대법원,형사,2022.07.14
76,232915,압류처분무효확인,대법원,대법원,일반행정,2022.07.28
77,232921,법인세부과처분취소,대법원,대법원,세무,2022.07.28
78,221975,정보비공개결정취소,대법원,대법원,일반행정,2022.05.26
79,221741,회계장부와서류의열람및등사청구의소,대법원,대법원,민사,2022.05.13
80,605143,이 사건 시설비를 토지면적 비율로 안분하여 양도관련 필요경비로서 공제한 것은 적법함,서울행정법원,하급심,일반행정,2024.03.20
81,240093,근저당권말소,서울고등법원,하급심,민사,2021.11.24
82,240099,부당이득금반환청구의소,서울고등법원,하급심,민사,2021.02.25
83,605117,건축비 등 필요경비에 대한 입증책임은 원고에게 있음,수원지방법원,하급심,일반행정,2024.11.13
84,605307,납세의무가 성립된 상태에서 체납자가 본인 소유의 유일 부동산을 직계비속에게 증여한 행위는 채권자를 해하는 사해행위에 해당함,부천지원,하급심,민사,2025.04.08
85,605311,(심리불속행) 인적·물적 시설이 없는 원고들이 발급·수취한 세금계산서는 사실과 다른 세금계산서로 봄이 타당함,대법원,대법원,일반행정,2025.05.01
86,606209,사해행위취소,부산고등법원,하급심,민사,2024.09.11
87,605163,등록무효(품),특허법원,하급심,특허,2024.10.17
88,221747,손해배상(기),대법원,대법원,민사,2022.05.13
89,606245,임대료반환청구,서울남부지방법원,하급심,민사,2023.09.01
90,606375,평균임금정정불승인처분취소,서울고등법원,하급심,일반행정,2023.12.05
91,605193,종합소득세부과처분등취소청구의소,서울행정법원,하급심,세무,2021.07.16
92,606239,부당이득금반환청구의소,서울중앙지방법원,하급심,민사,2023.06.30
93,605685,사기,서울남부지방법원,하급심,형사,2024.11.07
94,605459,잔존매매대금채권에 대한 국세징수법상 압류 및 그에 따른 추심금 청구 가부,속초지원,하급심,민사,2025.04.17
95,605747,"명의만 대여한 형식상의 주주로서 그 주식에 대한 권리를 실질적으로 행사할 여지도 없었으므로, 제2차 납세의무자에 해당하지 않음",대구지방법원,하급심,일반행정,2025.05.15
96,605543,전유부분이 아니라 대지사용권에 대하여만 압류한 각 토지에 관한 압류는 효력이 없음,서울중앙지방법원,하급심,민사,2024.06.11
97,227195,퇴직금,대법원,대법원,민사,2022.03.17
98,605553,건강보험약제선별급여적용고시취소청구,서울행정법원,하급심,일반행정,2022.07.27
99,605561,부당해고구제재심판정취소,서울행정법원,하급심,일반행정,2023.09.21
100,605447,이 사건 쟁점거래가 주식양도거래인지 주식 소각에 따른 의제배당 내지 합병에 따른 의제배당인지 여부,대법원,대법원,일반행정,2025.02.13
101,240133,손해배상(기),대구지방법원,하급심,민사,2020.11.03
102,605965,초과인출금 산정 시 사업용자산을 장부가액으로 평가하는지 아니면 취득가액으로 평가하는지,서울행정법원,하급심,일반행정,2025.05.19
103,606257,이자 면제 합의서가 존재할 경우 국세징수법상 추심금 청구 가부,수원지방법원,하급심,민사,2025.05.15
104,240973,부당이득금[사방시설이 적법하게 설치되지 않았음을 이유로 부당이득반환을 구하는 사건],대법원,대법원,민사,2024.06.27
105,238869,가처분이의,대법원,대법원,민사,2023.12.28
106,606011,건설업 면허가 없는 자가 다른 건설업체에게 도급을 하여 건물을 건설하게 한 경우 조특법 제7조 제1항 제1호 사목에 따른 건설업에 해당하는지,서울행정법원,하급심,일반행정,2025.05.16
107,605433,원고 지출비용은 회생법원의 판단에 따라 충당해야할 성질이지 상환을 구할 성질의 것이 아님,서울중앙지방법원,하급심,민사,2025.02.11
108,216821,강도상해,대법원,대법원,형사,2021.06.30
109,607587,구건물 화재로 멸실되어 건물 신축하여 양도한 경우 구건물 취득가액 양도소득세 필요경비 산입 가능 여부,의정부지방법원,하급심,일반행정,2025.07.08
110,606151,이 사건 증여계약이 재산분할 협의로서의 효력을 가지는지 여부,전주지방법원,하급심,일반행정,2025.04.25
111,606155,형식상의 주주에 불과하고 그 주식에 대한 권리를 실질적으로 행사할 지위에 있었다고 볼 수 없는 경우에는 2차납세의무자로 지정할 수 없음.,대전지방법원,하급심,일반행정,2025.01.08
112,607483,영리를 목적으로 독립된 지위에서 인쇄를 계속·반복적으로 받는 경우는 사업소득에 해당함,대전지방법원,하급심,일반행정,2025.05.29
113,606007,사해행위취소 소송,대법원,대법원,일반행정,2024.10.08
114,606295,"농지 등을 증여받은 날로부터 5년 이내 3,700만 원을 초과하는 사업소득이 있을 경우 영농자녀가 직접 영농에 종사하지 않은 것으로 보는 것임",수원지방법원,하급심,일반행정,2024.10.24
115,606339,공직선거법위반,서울중앙지방법원,하급심,형사,2024.11.15
116,606311,"실질과세원칙, 증여, 주식양도",서울행정법원,하급심,일반행정,2025.05.16
117,606319,이 사건 수색 및 압류가 적정한지 여부,광주지방법원,하급심,일반행정,2025.05.22
118,606273,(심리불속행)공급 당시 공부상 용도가 업무시설인 오피스텔은 그 규모가 주택법에 따른 국민주택 규모 이하인지 여부 또는 사실상 주거의 용도로 사용되는지 여부와 관계 없이 조세특례제한법 제106조 제1항 제4호의 국민주택에 해당한다고 볼 수 없음,대법원,대법원,일반행정,2025.06.26
119,606281,건축사사무소 등에 위탁한 설계용역비는 연구인력개발비(고유디자인 개발) 세액공제 대상이 아님,서울고등법원,하급심,일반행정,2025.05.14
120,606129,원고의 매입처에 대한 세무조사 결과 등을 고려하면 가공매출등으로 허위의 세금계산서 발급과 수취를 인정할 수 있음,청주지방법원,하급심,일반행정,2024.11.07
121,606063,사업소득 과세대상여부 외,부산지방법원,하급심,일반행정,2024.07.11
122,606079,회샌채권의 대손세액 공제 해당여부,창원지방법원,하급심,일반행정,2024.05.05
123,238511,손해배상(주식매매대금반환),수원지방법원,하급심,민사,2022.10.14
124,606093,구상금,수원지방법원,하급심,민사,2023.06.22
125,606103,보험금,서울중앙지방법원,하급심,민사,2022.06.13
126,606361,특정경제범죄가중처벌등에관한법률위반(횡령)·특정경제범죄가중처벌등에관한법률위반(배임)(인정된죄명업무상배임)·주식회사의외부감사에관한법률위반·특정경제범죄가중처벌등에관한법률위반(횡령)방조·대부업의등록및금융이용자보호에관한법률위반,서울중앙지방법원,하급심,형사,2024.01.26
127,605657,협동조합기본법에 따라 설립된 협동조합의 조합원은 이 사건 조항에 따라 제2차 납세의무를 지는 출자자가 될 수 없음,서울고등법원,하급심,일반행정,2025.04.23
128,606421,원고들이 이 사건 원고 법인으로부터 임대 업무 수행 등의 용역을 공급받았다는 근거가 없으므로 관련 매입세액을 불공제하여 한 부가가치세부과처분은 적법,서울행정법원,하급심,일반행정,2025.01.17
129,606411,상속증여 경정청구 거부처분,수원행정법원,하급심,일반행정,2025.02.13
130,227273,손해배상(기) [강간살인 피해자의 유족이 경찰관들 및 보호관찰관들의 직무상 의무 위반을 이유로 국가배상을 청구한 사건],대법원,대법원,민사,2022.07.14
131,606609,건물인도·손해배상(기)·위헌심판제청,서울서부지방법원,하급심,민사,2024.01.25
132,606629,마약류관리에관한법률위반(향정),서울남부지방법원,하급심,형사,2024.12.19
133,606637,손해배상(기),서울고등법원,하급심,민사,2020.11.26
134,606575,계약명의신탁에 대한 토지의 공매처분이 집합건물의 분리처분금지에 위배되지 않음,서울고등법원,하급심,민사,2025.05.23
135,606577,"체납자의 피고에 대한 이 사건 지급행위는 증여에 해당하고, 채무초과 상태에서 자녀에게 한 증여는 사해행위에 해당함",수원지방법원,하급심,민사,2025.05.14
136,238525,법인지방소득세경정거부처분취소,서울행정법원,하급심,세무,2022.01.27
137,606595,퇴직급여 근속연수 공제에 대하여 종전사업장 근무기간을 포함할 수 있는지 여부,청주지방법원,하급심,일반행정,2025.02.13
138,606565,양도소득세부과처분취소,서울행정법원,하급심,세무,2024.04.17
139,232987,이혼,대법원,대법원,가사,2022.04.14
140,603465,쟁점농지를 8년자경 감면대상으로 볼 수 없음,창원지방법원,하급심,일반행정,2024.06.19
141,217427,증여세부과처분취소[2016. 2. 5. 개정 전 구 상증세법 시행령 제31조 제6항이 무효인지 여부가 문제된 사건],대법원,대법원,세무,2021.09.09
142,607175,교원소청심사위원회결정취소,서울행정법원,하급심,일반행정,2022.05.26
143,227209,임대차보증금,대법원,대법원,민사,2022.03.17
144,606679,(심리불속행) 세무조사 절차의 하자 등,대법원,대법원,일반행정,2025.03.13
145,227205,구상금,대법원,대법원,민사,2022.03.17
146,606745,조합원지위확인,서울고등법원,하급심,일반행정,2023.12.15
147,607197,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·재물손괴·폭행,대구고등법원,하급심,형사,2024.08.22
148,607299,토지인도,서울고등법원,하급심,민사,2024.08.22
149,607603,이 사건 채권의 양도양수계약 해제가 사해행위에 해당하는지 여부,안산지원,하급심,민사,2025.04.03
150,606953,해외카드사에 지급한 카드사분담금은 그 실질이 상표권이며 나머지는 시스템사용에 대한 포괄적 역무 대가임,서울고등법원,하급심,일반행정,2024.01.16
151,606955,기타소득 80% 의제필요경비 인정여부,서울고등법원,하급심,일반행정,2024.02.02
152,606891,이 사건 추심금 청구는 적법함,서울중앙지방법원,하급심,민사,2024.10.30
153,607011,사업명의자가 단순한 명의 대여자에 불과하다는 점을 인정할 만한 증거가 부족하므로 사업명의자를 실사업자로 보아 과세한 처분은 적법함,의정부지방법원,하급심,일반행정,2024.05.14
154,234357,손해배상(기),서울고등법원,하급심,민사,2022.03.17
155,606923,소유권말소등기 승낙의 소,수원지방법원,하급심,민사,2025.06.19
156,606935,이 사건 처분 중 발급사일일분담금에 관한 법인세의 환급을 구하는 경정청구를 거부한 부분은 위법함,서울고등법원,하급심,일반행정,2024.11.12
157,607151,배우자에 대한 일방 증여라는 경제적 실질은 인정되나 의제배당소득세의 회피라는 결과만으로 비합리적인 형식이나 외관을 형성한 것이라고 단정할 수 없음,수원지방법원,하급심,일반행정,2024.01.18
158,607089,보험료의 실제 납부자와 보험금의 수령인이 다르면 이는 실질적으로 증여에 해당함,서울고등법원,하급심,일반행정,2025.02.11
159,607237,소유권이전등기,서울중앙지방법원,하급심,민사,2024.09.25
160,607489,쟁점토지의 명의신탁 여부,수원지방법원,하급심,일반행정,2025.06.24
161,607409,임원퇴직금지급규정에 따른 임원퇴직위로금 해당 여부,수원지방법원,하급심,일반행정,2024.09.12
162,607535,원고가 명의수탁자로서 이 사건 매매를 한 것인지 여부,수원고등법원,하급심,일반행정,2025.04.09
163,607969,이 사건 이자가 이자소득인지 사업소득인지 여부,서울행정법원,하급심,일반행정,2024.05.24
164,607423,사업명의자가 단순한 명의 대여자에 불과하다는 점을 인정할 만한 증거가 부족하므로 사업명의자를 실사업자로 보아 과세한 처분은 적법함,서울고등법원,하급심,일반행정,2024.09.27
165,607283,피고는 가산세 납세의무가 있음,대구지방법원,하급심,일반행정,2025.04.10
166,606173,건물인도·손해배상(기)[부속물 매매대금 채권을 수동채권으로 한 임대인의 상계 의사표시 이전 임차인의 목적물 점유가 불법점유인지 문제된 사건],대법원,대법원,민사,2025.05.15
167,607443,원고 주장의 프리미엄을 인정할 수 없음,서울행정법원,하급심,일반행정,2024.10.30
168,607351,가등기청구권은 시효소멸하였음,대구지방법원,하급심,민사,2025.06.27
169,607447,피상속인ㆍ상속인의 장기보유특별공제 거주기간 통산 여부,서울행정법원,하급심,일반행정,2024.09.25
170,607359,사해행위에 해당하여 취소되어야 함,대구지방법원,하급심,민사,2025.02.18
171,607453,체납자가 소유 부동산을 자식에게 증여하는 계약은 사해행위 대상,서울북부지방법원,하급심,민사,2024.03.21
172,607887,차량렌트료에 포함된 보험료상당액이 부가세 면제대상인 보험용역 공급에 대한 대가인지 여부,서울고등법원,하급심,일반행정,2024.07.10
173,607381,부동산 명의신탁 여부와 양도소득세 납세의무,서울고등법원,하급심,일반행정,2025.05.01
174,213449,교통사고처리특례법위반(치상),서울동부지방법원,하급심,형사,2020.06.11
175,607735,(심리불속행) 건물 신축 후 5년 이내 양도시 적용한 환산가액 적용에 따른 가산세를 감면할 정당한 사유가 없으므로 경정청구를 거부한 처분은 적법함.,대법원,대법원,일반행정,2025.03.27
176,607743,비상장주식의 평가,서울행정법원,하급심,일반행정,2024.04.04
177,607651,소득세법시행령 제61조1항 2호는 모법인 소득세법 제33조 제1항 제5호의 위임범위를 벗어났다고 볼 수 없음,서울행정법원,하급심,일반행정,2025.05.19
178,607765,조세채무자가 배우자에게 증여한 부동산은 협의이혼에 따른 재산이전으로 볼 수 있음,대구지방법원,하급심,민사,2025.07.24
179,607661,상속재산 해당 여부,서울행정법원,하급심,일반행정,2024.10.29
180,607667,쟁점 무자료 매출액이 법인에게 귀속되었다고 봄이 타당함,광주고등법원,하급심,일반행정,2024.11.21
181,213451,저작권법위반,서울중앙지방법원,하급심,형사,2020.05.08
182,213669,"수뢰후부정처사(일부 인정된 죄명 뇌물수수), 공무상비밀누설, 증거인멸교사",서울중앙지방법원,하급심,형사,2020.01.17
183,214721,아동·청소년의성보호에관한법률위반(음란물제작·배포등)ㆍ도박공간개설ㆍ정보통신망이용촉진및정보보호등에관한법률위반(음란물유포),서울중앙지방법원,하급심,형사,2020.06.18
184,607615,중간지급조건부로 공급하는 건축설계용역의 공급시기 및 수입시기가 언제인지,서울행정법원,하급심,일반행정,2024.11.28
185,607623,배당이의,광주고등법원,하급심,민사,2024.04.18
186,607721,피담보채무의 소멸시효 완성을 원인으로 한 근저당권 말소 청구,수원지방법원,하급심,민사,2025.07.23
187,607785,부당이득금[집합건물 대지공유자들이 구분소유자들을 상대로 대지 사용·수익에 따른 차임 상당의 부당이득반환을 청구한 사건],대법원,대법원,민사,2025.07.17
188,214657,"성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준유사성행위), 성폭력범죄의처벌등에관한특례법위반(친족관계에의한준강제추행), 성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준강제추행), 아동복지법위반(주1)ㆍ부착명령",부산고등법원,하급심,형사,2020.05.13
189,608359,저작권침해금지등·저작권침해금지등,서울고등법원,하급심,민사,2024.12.12
190,608255,납세고지서를 통해 결손금의 감액경정처분의 통지가 이루어졌음,서울고등법원,하급심,일반행정,2024.10.23
191,608261,특허권의 양수대금은 대표이사 가지급금 채무 정산을 위한 것에 불과하여  특허권 양수계약은 부당행위계산 부인대상임,인천지방법원,하급심,일반행정,2024.11.22
192,608269,종합부동산세 제8조 등이  위헌법률에 해당하는지 여부,인천지방법원,하급심,일반행정,2024.08.30
193,608031,면세점에 송객 용역을 실제로 제공되었다는 사실을 인정하기에 부족함,서울행정법원,하급심,일반행정,2024.09.30
194,608289,원고의 대표 계좌에 송금한 이 사건 입금액은 가공거래에 해당함,서울고등법원,하급심,일반행정,2024.08.08
195,608115,사해행위 부동산을 피고에거 처분한 행위는 원고를 해함을 알면서 행한 사해행위에 해당하며 선의에 대한 입증책임은 수익자 또는 전득자에게 있음,대법원,대법원,일반행정,2025.05.29
196,608181,이 사건 각 세금계산서가 ‘사실과 다른 세금계산서’에 해당하는지 여부,서울행정법원,하급심,일반행정,2025.08.22
197,608325,근저당권의 피담보채무가 소멸하였으므로 근저당권설정등기의 말소등기절차를 이행할 의무가 있음,상주지원,하급심,민사,2025.08.26
198,608207,약용작물과 황토 등을 혼합해 가공한 재화의 판매소득은 작물재배업에서 발생하는 소득에 해당하지 않음,인천지방법원,하급심,일반행정,2024.12.06
199,608329,원고가 채권채무조회서를 조작하고 ERP 시스템에 가공외상매입금을 입력한 행위는 부정행위에 해당함,광주지방법원,하급심,일반행정,2025.01.17
200,234349,여객자동차운송사업계획변경개선명령취소,대법원,대법원,일반행정,2022.09.07
201,218267,보험금,대법원,대법원,민사,2020.11.26
202,608165,"이 사건 처분은 중복세무조사 및 중복감사 금지 원칙을 위배하지 않았고, 원고들은 신규로 이 사건 주택신축판매업을 개시한 사업자에 해당하며, 원고들에게 가산세 감면의 정당한 사유가 존재하지 않음",서울행정법원,하급심,일반행정,2024.06.11
203,607991,국내카드사가 해외카드사에 지급하는 해외수수료는 부가가치세 대리납부 대상에 해당함,서울행정법원,하급심,일반행정,2025.01.13
204,217063,취득세등부과처분취소,서울고등법원,하급심,세무,2020.08.28
205,217153,매매계약무효확인의소,서울중앙지방법원,하급심,민사,2020.06.18
206,217051,손해배상(사실혼파기)및재산분할,수원고등법원,하급심,민사,2020.12.09
207,234799,법인세부과처분등취소,대법원,대법원,세무,2023.05.18
208,608005,"이 사건 증여계약은 사해행위에 해당하므로, 그 계약을 취소해야 함",동부지방법원,하급심,민사,2025.04.17
209,608051,가등기 말소,서울중앙지방법원,하급심,민사,2025.04.10
210,608055,이 사건 탈세제보 포상금 지급거부처분 적법여부,서울고등법원,하급심,일반행정,2025.05.02
211,608377,종합부동산세등부과처분취소,수원지방법원,하급심,세무,2021.12.16
212,608241,보증금반환,서울중앙지방법원,하급심,민사,2023.10.19
213,608071,재산세경감토지의 종부세 경감여부,서울중앙지방법원,하급심,민사,2024.10.17
214,238307,축산물위생관리법위반,대법원,대법원,형사,2022.11.10
215,217127,소유권이전등기등,서울중앙지방법원,하급심,민사,2021.02.16
216,608085,이 사건 세금계산서는 사실과 다른 세금계산서에 해당한다,서울행정법원,하급심,일반행정,2024.08.27
217,217165,취득세등부과처분취소,대전지방법원,하급심,세무,2020.01.30
218,608089,배우자 및 자녀에게 주식증여로 인한 절세라는 결과만을 보고 이 사건 증여 및 양도가 실질 없는 의제배당소득 회피목적의 비합리적 거래라고 보기 어려움,서울행정법원,하급심,일반행정,2024.11.08
219,217605,부당해고구제재심판정취소,서울행정법원,하급심,일반행정,2020.06.25
220,218409,이혼ㆍ이혼및양육자지정,전주지방법원,하급심,가사,2020.03.10
221,217655,손해배상(기),서울고등법원,하급심,민사,2020.12.17
222,607923,과세예고통지,서울행정법원,하급심,일반행정,2025.02.13
223,239549,소유권이전등기,대법원,대법원,민사,2023.03.30
224,608137,이 사건 세무조사가 조사절차를 위반했는지 여부,서울행정법원,하급심,일반행정,2024.07.05
225,238533,압수처분에대한준항고,서울중앙지방법원,하급심,형사,2021.01.26
226,607975,면세사업자 등록번호로 수취한 세금계산서를 과세사업자 등록번호로 수정하여 발급받은 경우 매입세액을 소급하여 공제할 수 없음,서울고등법원,하급심,일반행정,2025.05.15
227,607977,경정청구 등의 절차를 거치지 않고 양도소득세 수정신고 행위가 당연무효에 해당함을 전제로 부당이득반환을 구하는 원고의 주장은 이유 없음,서울북부지방법원,하급심,민사,2025.06.25
228,607985,재심소장 각하함,서울고등법원,하급심,일반행정,2025.07.11
229,234385,"승계집행문부여에대한이의[승계집행문부여에대한이의 피상속인의 배우자와 자녀 중 자녀 전부가 상속을 포기한 경우 배우자와 손자녀 또는 직계존속이 공동상속인이 되는지, 배우자가 단독상속인이 되는지 여부]",대법원,대법원,민사,2023.03.23
230,214255,배당이의,대법원,대법원,민사,2021.01.14
231,234449,임대차보증금,대법원,대법원,민사,2023.03.30
232,218223,개발제한구역보전부담금부과처분취소,대법원,대법원,일반행정,2021.04.29
233,234835,상속회복청구등의소,서울고등법원,하급심,민사,2020.11.11
234,234875,우선수익권부존재확인청구등,서울중앙지방법원,하급심,민사,2022.01.12
235,234883,건물등철거,대전지방법원 천안지원,하급심,민사,2021.11.24
236,216853,임금,대법원,대법원,민사,2021.06.10
237,220057,공무상비밀누설,서울고등법원,하급심,형사,2021.01.29
238,220069,과징금부과처분취소청구,서울고등법원,하급심,일반행정,2020.06.11
239,220127,구상금등청구의소,부산지방법원,하급심,민사,2021.05.12
240,220221,용역비,수원지방법원 성남지원,하급심,민사,2020.09.17
241,216751,건축신고불수리처분취소,부산고등법원 창원재판부,하급심,일반행정,2020.11.04
242,220353,강간치상·마약류관리에관한법률위반(향정)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·강제추행·특정경제범죄가중처벌등에관한법률위반(사기)·사기·공문서위조·위조공문서행사·부착명령,부산고등법원,하급심,형사,2021.11.24
243,220393,구상금,서울중앙지방법원,하급심,민사,2020.12.10
244,239553,손해배상등,대법원,대법원,민사,2023.03.30
245,241601,사기[법원이 해외에 체류 중인 사람에 대하여 선서 없이 인터넷 화상장치로 진술을 청취한 경우 그 진술 녹음파일과 녹취서의 증거능력이 문제된 사건],대법원,대법원,형사,2024.09.12
246,220053,정이사선임처분취소,서울고등법원,하급심,일반행정,2021.04.28
247,241413,아동·청소년의성보호에관한법률위반(음란물제작·배포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·아동·청소년의성보호에관한법률위반(성매수등),서울고등법원,하급심,형사,2021.01.07
248,216825,배당이의,대법원,대법원,민사,2021.06.24
249,216851,손해배상(기),대법원,대법원,민사,2021.06.10
250,216797,채무부존재확인ㆍ보험금,대법원,대법원,민사,2021.06.17
251,216977,손해배상(기)[건축 설계도서의 저작물성 인정 여부 사건],대법원,대법원,민사,2021.06.24
